name,position,snaps,snap_pct
Jalen Hurts,Quarterback,1123,0.8312361213915618
Kenny Pickett,Quarterback,139,0.10288675055514433
Tanner McKee,Quarterback,89,0.06587712805329386
Saquon Barkley,Running Back,960,0.700218818380744
Kenneth Gainwell,Running Back,329,0.2399708242159008
Will Shipley,Running Back,72,0.0525164113785558
Tyrion Davis-Price,Running Back,5,0.0036469730123997084
Khari Blasingame,Running Back,5,0.0036469730123997084
DeVonta Smith,Wide Receiver,971,0.28483426224699326
A.J. Brown,Wide Receiver,946,0.2775007333528894
Jahan Dotson,Wide Receiver,786,0.2305661484306248
Johnny Wilson,Wide Receiver,400,0.11733646230566148
Parris Campbell,Wide Receiver,148,0.04341449105309475
Ainias Smith,Wide Receiver,96,0.028160750953358755
Britain Covey,Wide Receiver,50,0.014667057788207686
John Ross,Wide Receiver,12,0.0035200938691698444
Grant Calcaterra,Tight End,851,0.4457831325301205
Dallas Goedert,Tight End,619,0.3242535358826611
Jack Stoll,Tight End,201,0.10529072812991094
C.J. Uzomah,Tight End,132,0.06914614981665794
E.J. Jenkins,Tight End,106,0.05552645364064956
Jalen Carter,Defensive Tackle,1027,0.37729610580455547
Milton Williams,Defensive Tackle,629,0.23108008817046288
Moro Ojomo,Defensive Tackle,465,0.17083027185892727
Jordan Davis,Defensive Tackle,431,0.1583394562821455
Thomas Booker,Defensive Tackle,170,0.06245407788390889
Ochaun Mathis,Defensive Tackle,0,0.0
Josh Sweat,Defensive End,775,0.3122481869460113
Nolan Smith,Defensive End,725,0.2921031426269138
Jalyx Hunt,Defensive End,321,0.12933118452860595
Brandon Graham,Defensive End,311,0.12530217566478646
Bryce Huff,Defensive End,298,0.1200644641418211
Charles Harris,Defensive End,52,0.020950846091861403
Patrick Johnson,Defensive End,0,0.0
Zack Baun,Linebacker,1151,0.4667477696674777
Nakobe Dean,Linebacker,881,0.3572587185725872
Oren Burks,Linebacker,322,0.1305758313057583
Jeremiah Trotter,Linebacker,108,0.043795620437956206
Nicholas Morrow,Linebacker,4,0.0016220600162206002
Dallas Gant,Linebacker,0,0.0
Ben VanSumeren,Linebacker,0,0.0
Quinyon Mitchell,Cornerback,1105,0.2769423558897243
Darius Slay,Cornerback,898,0.22506265664160402
Cooper DeJean,Cornerback,830,0.20802005012531327
Isaiah Rodgers,Cornerback,412,0.10325814536340852
Avonte Maddox,Cornerback,351,0.08796992481203007
Tristin McCollum,Cornerback,255,0.06390977443609022
Kelee Ringo,Cornerback,125,0.03132832080200501
Eli Ricks,Cornerback,14,0.0035087719298245615
C.J. Gardner-Johnson,Safety,1119,0.5011195700850873
Reed Blankenship,Safety,1031,0.46171070309001344
Sydney Brown,Safety,83,0.03716972682489924
Andre' Sam,Safety,0,0.0
